,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE,group
ec106,0.001879842,0,0,0.119007869,0,0.082063408,0,0.127519791,0,0,0,0.127008045,0.113644679,0.044447395,0.063063539,0,0.107991894,0.135252691,0,0.078120847,0,0,0.088,0.15501444,1.042554224,Low
ec302,0.019206665,0,0.124419781,0.241347667,0,0.068451974,0.087985989,0.081944112,0.051179911,0,0,0.0270203,0.022023371,0.005294203,0.134545598,0.024353312,0.046504728,0,0,0.000513044,0.062999572,0.002209773,0.001,0.359176988,0.938596408,High
ec305,0.051649762,0,0.024418135,0.269266443,0,0,0.040594537,0.004390108,0.135981766,0,0,0.052634156,0.040708182,0.05566605,0.174623658,0.000131587,0.034966482,0.021104566,0,0.08664088,0.007223689,0,0.049,0.18461103,1.043047953,High
ec306,0,0,0.044946341,0,0,0.234203743,0,0.071969699,0.10140998,0,0.045602236,0.016577687,0.013190271,0,0.021468909,0.065357509,0.02282145,0.005864474,0,0.282237988,0.056947187,0.017402525,0.632,0.028671553,1.078548784,High
ec326,0.029577645,0,0.226048886,0.237978841,0,0,0.022041397,0.014485167,0.064992423,0.058417004,0,0.065210605,0.031600414,0.040226982,0.070016705,0.028821517,0.004912717,0.014061426,0.078159021,0,0.01344925,0,0.022,0.222828199,0.998126672,High
ec330,0.033229394,0,0.305690623,0.191147709,0,0.027035984,0.066766181,0.113220582,0.027068157,0,0,0.006678217,0.02446518,0.047846043,0.098339175,0.004427157,0.021257161,0,0.005633808,0.012633612,0.001945914,0.012615102,0.147,0.127929575,1.028670561,High
ec331,0.034355383,0,0.094903338,0.172997157,0,0.137923757,0.063272597,0.06813574,0.033638493,0,0,0.021228604,0.032040058,0.002390671,0.194643945,0.022209231,0.03811437,0,0,0.00901021,0.053159977,0.021976469,0.028,0.209540994,1.022853762,High
ec311,0.118793354,0,0.023117276,0.055322504,0,0.138098086,0,0.058501861,0.105867364,0,0,0.013399088,0.126249284,0.071068244,0.076492606,0,0.088657486,0,0,0.105473948,0,0.018958901,0.442,0.056125007,1.061696205,High
ec333,0.066163972,0,0.27800061,0.199020993,0,0.047774089,0,0.072477041,0.076952171,0,0,0.014187294,0.047460212,0.030649128,0.03128646,0.003635899,0.018860959,0.064090333,0.04944084,0,0,0,0.261,0.090162398,1.043132193,High
ec337,0.112014153,0,0.08924343,0.137529817,0,0.014322121,0,0.232766903,0.042100711,0.009751852,0,0.088445535,0,0,0.169991527,0,0.053553769,0,0,0.04341152,0,0.006868661,0.085,0.157652176,1.049498809,High
ec353,0.065525731,0,0.092146829,0.107546559,0,0.188529999,0.123922429,0.041217817,0,0,0,0.033304826,0.042905791,0.019658749,0.20028769,0,0.01229037,0.000850936,0,0.047238682,0,0.024573591,0.024,0.216210302,1.018139287,High
ec362,0,0,0.037335616,0,0,0.282649628,0,0.125998925,0.046729068,0,0,0.099223895,0,0.090962102,0.037598567,0.067476683,0.02184931,0,0.168133084,0,0.022043121,0,0.843,-0.005530495,1.0981382,High
ec365,0.087098585,0,0.072739946,0.195461654,0,0.028766521,0.011369538,0.095358873,0.053488039,0.050822095,0,0.033415494,0.035057605,0.017827577,0.12981695,0.052307573,0.02616771,0,0.102063577,0,0.008238262,0,0.02,0.225385761,1.000963692,High
ec366,0.06439121,0,0.043403578,0.227802062,0,0,0,0.157706687,0.088745478,0,0,0.10602504,0,0.029314779,0.130025018,0,0.122708345,0,0.022878546,0,0,0.006999256,0.029,0.207890324,1.024378313,High
ec367,0.039384825,0,0.018852122,0.094349954,0,0.084161805,0,0.048187296,0.085091732,0,0,0.071271288,0.006066358,0.06942207,0.111322,0.067404335,0.046281298,0,0.218402817,0,0.039802099,0,0.544,0.041091127,1.071207802,High
ec371,0.012802832,0,0.008308977,0.019460051,0,0.17595968,0,0.043201029,0,0,0,0.026996904,0.208015791,0.033210837,0.011060722,0,0,0,0,0.391030003,0,0.069953175,0.029,0.205657897,1.013433611,High
ec375,0.047475952,0,0.061210132,0.013385882,0,0.154077705,0,0.057696804,0.097664538,0,0.000948657,0.104455839,0.009767368,0.075253786,0.044435086,0.084156808,0.021530303,0,0.227941141,0,0,0,0.602,0.033264415,1.067865601,High
ec409,0.059024907,0,0.245486851,0.073201729,0,0.122714862,0,0.10148985,0.076878607,0,0,0.044035044,0,0.039560982,0.088955215,0.078425962,0,0,0.042911666,0.027314327,0,0,0.57,0.037265168,1.063774345,High
ec403,0.082369274,0,0.037041487,0.127156304,0,0.237331143,0.131742085,0,0,0,0,0,0.088083878,0.004848126,0.053807476,0,0.084894325,0,0,0.114508124,0.035590656,0.002627121,0.42,0.060018344,1.056254769,High
ec405,0.085689716,0,0.171369164,0.099945797,0,0.107155992,0,0.03219831,0.117294711,0,0,0.060778013,0.048813408,0.019464582,0.056188746,0.07411978,0.022807283,0,0.077873384,0,0.026301115,0,0.764,0.007045205,1.073217986,High
ec225,0.002048637,0,0.038410864,0.070410192,0,0.219977314,0.105966441,0,0,0,0,0.088788762,0.043019734,0.019269563,0.032587157,0.083925269,0.120169897,0.020660415,0,0.097778985,0.056228451,0.000758321,0.04,0.195548293,1.004061288,High
ec226,0.012977447,0,0.152097932,0.001258236,0,0.262852538,0.008846602,0,0,0,0,0.104562393,0.108525016,0.03095862,0.061297919,0,0.11677684,0,0,0.139846457,0,0,0.046,0.187217107,1.003294792,High
ec253,0.006361869,0,0.250691806,0.159850552,0,0.095646659,0.007516872,0.016826313,0.068906261,0,0,0.021200767,0.031461855,0.045763445,0.109503268,0.024158669,0.067793664,0,0,0.089361561,0.001760444,0.003195994,0.001,0.343086103,0.940498362,High
ec256,0.051903312,0,0.292360139,0.101186389,0,0.011966069,0.001344408,0.051190262,0.056409908,0.017824443,0,0.084784322,0.107900261,0.043026715,0.113847837,0,0,0.047831846,0,0,0.018424089,0,0,0.393206818,0.919278098,High
ec258,0.101523558,0,0.290274197,0.008502393,0,0.021943358,0.009166786,0.003952266,0.106404987,0,0,0.078080447,0.05936387,0.023137077,0.104406484,0.022710717,0.044611488,0.000628544,0,0.083190421,0.042103407,0,0.006,0.272147981,0.968392553,High
ec259,0.036624969,0,0.066515275,0.002178563,0,0.155352883,0,0.115096652,0.057999709,0.013483134,0,0.176700625,0.033143499,0.133969939,0.04896073,0.064556914,0.020792614,0.00901129,0.065613205,0,0,0,0.109,0.143369787,1.043681097,High
ec260,0.094002085,0,0.029513917,0.019551094,0,0.17582756,0,0,0.014289238,0,0,0.040904428,0.11050405,0.083407163,0.12211412,0.080286413,0.090440219,0,0.058061373,0,0.081098339,0,0.002,0.307398268,0.960269434,High
ec261,0.077657911,0,0.029129031,0.04101723,0,0.136036239,0,0,0.033484208,0,0,0.044449542,0.052342982,0.174759474,0.022213266,0.022937275,0.043684883,0.006018075,0,0.28006671,0.005716174,0.030486999,0.029,0.206912992,1.013716699,High
ec262,0,0.021689957,0.220767748,0.03720047,0,0.030968349,0.072990577,0.04634484,0,0.085982029,0,0.059277681,0.069117406,0.031000029,0.159022009,0.067642901,0.039035491,0.036422153,0.015753919,0.006784442,0,0,0,0.409418662,0.91222431,High
ec264,0.07082402,0,0.291022055,0.175621822,0,0.010532647,0.045728923,0.032624998,0.064609037,0.003468296,0,0.030877386,0.018161854,0.003129342,0.122586151,0.029472031,0.074830024,0,0,0.023960469,0.002550943,0,0.001,0.325313655,0.948885815,High
ec266,0.016697779,0,0.091411509,0.053134526,0,0.254156033,0.063985919,0.005147566,0.002886251,0,0,0.029969314,0.114068221,0.014966803,0.038992054,0.058172961,0.084745111,0.053009743,0,0.107318026,0.011338183,0,0.054,0.179420644,1.005154983,High
ec269,0.057045819,0,0.256087113,0.336822904,0,0,0.003518562,0.053205055,0.071169066,0.036087924,0,0.017718362,0.018429799,0.014568345,0.06322914,0.007849615,0.029583027,0,0.005066087,0.004795033,0.02482415,0,0.006,0.268598774,0.982880756,High
ec275,0.072481543,0,0.01324756,0.127156896,0,0.020618639,0.008671799,0.051503536,0.023490205,0,0,0.036061354,0.226867959,0.004140384,0.217623769,0,0.048338921,0,0,0.149797435,0,0,0.006,0.264511424,0.995838305,High
ec277,0.06004922,0,0.263302153,0.113868045,0,0.100718421,0.019312015,0.089068691,0.027414257,0.017110748,0,0.037020963,0.008721237,0.022672251,0.111570045,0.00742431,0.036957862,0.071801126,0.012988657,0,0,0,0.006,0.26610211,0.97965143,High
ec280,0.041704777,0,0.090681814,0.188741509,0,0.043057503,0.00753953,0,0.097885991,0.015287626,0,0.102284691,0.085729965,0.089333145,0.12089953,0.037964129,0.043116324,0,0,0.025789016,0.009984449,0,0.003,0.298398519,0.971203859,High
ec287,0.052499574,0,0.382395213,0.132054821,0,0.037325607,0,0.026525543,0.001662606,0,0,0.064459881,0.13226334,0.030646287,0.003420154,0,0.004888766,0.07421837,0,0.057639837,0,0,0.589,0.034451509,1.057667609,High
ec288,0.016432765,0,0.231701657,0.217206608,0,0.007355846,0,0.071589029,0.052510781,0.075563017,0,0.033611154,0.042839442,0.032302895,0.048203603,0.043367753,0.020632074,0.05650035,0.050183026,0,0,0,0.002,0.303880058,0.959860054,High
ec30,0.073159429,0,0.021101346,0.010816694,0,0.111109585,0,0.003186146,0.134634428,0.093304069,0,0.14749218,0,0.0756448,0.076654044,0.129244358,0.014381633,0,0.109271287,0,0,0,0.102,0.148337495,1.048788435,High
ec68,0,0.042574961,0.033916529,0.037134706,0,0.294050759,0.045001783,0.057057398,0,0,0,0.09976945,0.048551962,0.124178219,0.016410551,0,0.049026652,0.099112357,0,0.053214672,0,0,0.082,0.160357057,1.036167181,High
ec80,0,0,0.073185151,0.166642734,0,0,0,0.131002621,0.080939019,0,0,0.048502103,0.089281201,0.305001953,0.082062807,0,0.010333858,0,0.013048552,0,0,0,0.417,0.061046051,1.097055691,High
ec81,0.15173869,0,0.025918996,0.121848825,0,0.018888629,0,0.326684645,0,0,0,0.174257416,0,0.085707452,0.020877865,0.019845978,0.018408214,0,0,0.018992324,0,0.016830964,0.091,0.153600416,1.058679311,High
ec108,0.130040843,0,0.223702711,0.066799276,0,0.005187224,0,0.209534211,0,0,0,0.076176613,0.068823578,0.084756442,0.044488123,0,0.068702917,0.019281167,0,0.002506898,0,0,0.712,0.016378653,1.067547888,High
ec119,0.068691613,0,0.12500926,0.153334668,0,0.058409922,0,0.090787337,0.123747408,0,0,0.122856482,0,0.055250542,0.063055004,0.118729385,0.00938372,0,0.010744659,0,0,0,0.001,0.352171532,0.943282994,High
ec122,0.119497874,0,0.00928824,0.057343506,0,0,0,0.063188748,0.189957783,0.075260368,0,0.073421459,0.084317605,0.064434397,0.04685282,0.026665391,0.025745326,0.164026482,0,0,0,0,0.055,0.176866262,1.039295292,High
ec131,0.129930179,0,0.070905932,0.308503591,0,0,0.010468058,0.073202714,0.006352341,0,0,0.062720969,0.024413226,0,0.167480037,0.030834899,0.115188053,0,0,0,0,0,0.019,0.226652446,1.018715357,High
