"","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","B.lineage","NK.cells","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","group"
"ec87",9.62759811,8.107182493,7.536690752,6.352214121,7.829759338,10.06557435,9.664489288,7.19761916,8.731270731,12.84088385,"Low"
"ec91",8.051431535,7.691194423,5.103375949,6.204921242,8.625843132,8.36777017,7.566259562,8.163834222,8.243702221,12.49174004,"Low"
"ec92",10.34359576,8.42594214,7.483142109,10.05582907,6.504869734,10.55525575,10.06509908,8.849065708,8.844704164,12.83192941,"Low"
"ec94",10.34235633,11.04547282,8.551228421,7.84278505,6.860384593,11.7270543,9.864548575,7.544604863,8.883591049,13.68241426,"High"
"ec4",9.72622786,9.825002452,7.280398288,8.070596572,6.93183244,9.616079854,7.059747053,8.149763944,8.349327694,13.09529904,"Low"
"ec6",10.24477249,10.72971964,8.336523161,7.0914638,5.76885049,10.58491907,9.564989054,6.810460156,8.462932462,11.96843602,"High"
"ec7",9.343406285,6.525405784,6.867958729,9.137289028,6.866492848,9.987860923,8.603408279,7.790983043,8.626461356,12.8025027,"Low"
"ec96",9.419501522,7.052437301,6.945476416,7.164432164,6.240703083,10.57103767,8.940133677,8.780321423,10.12805828,13.16331919,"High"
"ec97",10.31779829,8.115544589,7.398795592,9.935505586,5.795188672,10.47001246,10.2523537,8.529870573,9.034439514,12.2428354,"Low"
"ec101",8.442823806,9.553628377,6.191072085,5.97239113,5.958167417,9.548546474,8.299409327,9.49786537,8.801250127,12.85785952,"Low"
"ec106",8.792395677,8.822601713,7.991739103,5.903947175,7.168650212,10.03141904,7.698127462,8.67221073,8.668693805,11.84831912,"Low"
