ID,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
ec333,-0.130307161,0.239536757,0.12314927,0.224763265,0.150829722,0.301148775,0.532472653,0.121547988,0.081758342,0.26839953,-0.089550704,0.219691233,-0.099005883,0.26123764,-0.009205585,0.07017946,0.277190019,0.104969721,0.109607005,0.292773964,0.0441884,-0.281632382,0.366637422,0.081912608,-0.010526765,0.157570357,-0.1278463,0.114258333
ec334,-0.224144178,0.244265245,0.09430024,0.214824501,0.167774212,0.306929041,0.579838947,0.15827856,0.078308875,0.267195321,0.025264481,0.299095049,-0.089595407,0.291483787,0.050629,0.092895074,0.319021548,-0.040426554,0.098477072,0.242337639,0.066551961,-0.037660093,0.396677815,0.11166569,0.031426922,0.151907472,-0.191868136,0.057754139
ec337,-0.23064854,0.265848764,0.197866983,0.247363351,0.161603073,0.264338475,0.52261391,0.196464502,0.026559517,0.256211694,-0.073920257,0.231849934,-0.114031254,0.250887468,0.024508883,0.176717718,0.347951157,0.013761104,0.099253184,0.279160436,0.088517304,-0.182817908,0.401123241,0.120444425,-0.003771421,0.161088976,-0.200496413,0.088327793
ec338,-0.258791603,0.223807955,0.093065738,0.206803732,0.203405908,0.295851179,0.505103779,0.166460536,0.04866494,0.242528434,-0.063297734,0.264061202,-0.110277966,0.325880864,0.000529283,0.109440392,0.29419355,0.071366481,0.084515381,0.276639081,0.066456652,-0.248069669,0.381390843,0.100002735,0.040234426,0.156427794,-0.218244436,0.040673
ec340,-0.136972507,0.277591059,0.199894332,0.26576095,0.161497756,0.300483631,0.542022285,0.167029094,0.07911715,0.287303837,-0.061910034,0.272466685,-0.055665525,0.299770456,0.033939052,0.091812421,0.371519906,0.024026954,0.080633519,0.293079185,0.071733691,0.023620882,0.423335123,0.136597195,0.046840226,0.158600645,-0.167938188,0.070192494
ec341,-0.262718741,0.080304968,0.149442021,0.201713566,0.153552733,0.253211939,0.550970265,0.149287574,0.025155373,0.24605318,-0.146149271,0.244943479,-0.104170694,0.284820422,0.028076925,0.102285872,0.310953239,0.070840946,0.094197617,0.280833273,0.099079698,-0.074996917,0.436753628,0.117865799,-0.001145826,0.133542561,-0.180145188,0.055044299
ec342,-0.199235654,0.088272417,0.140297313,0.216459391,0.155759861,0.302872873,0.568363841,0.17729396,0.108036738,0.216125717,-0.073347267,0.300397139,-0.137761517,0.313003756,0.02547758,0.088154817,0.286712042,0.058252927,0.096565252,0.306723702,0.049820248,-0.075354167,0.3885359,0.08074427,0.006555189,0.185024068,-0.161762487,0.070742874
ec347,-0.306484653,0.21344213,0.04676167,0.233971481,0.205525421,0.271524623,0.535743709,0.099352184,0.142977809,0.212267432,-0.09278726,0.247161515,-0.165622994,0.315961854,0.00701574,0.086146843,0.28801764,-0.035562295,0.071055799,0.229376185,0.024825774,-0.127243396,0.359073413,0.081200039,-0.011955638,0.144733246,-0.188551246,0.121704373
ec353,-0.188242058,0.270927373,0.192559052,0.275554841,0.175168672,0.327116906,0.575043515,0.201292422,0.085316193,0.243911892,-0.070789023,0.262972961,-0.095766351,0.31528304,0.030741623,0.142446449,0.336998245,0.044918926,0.10771266,0.294910809,0.09641982,-0.097809011,0.408639572,0.127778529,0.010758419,0.155078202,-0.150536383,0.028413804
ec355,-0.202958489,0.25489465,0.235730555,0.279669224,0.176101609,0.346720746,0.579401314,0.24001173,0.110165392,0.270946572,-0.00741465,0.277420287,-0.085303673,0.309109783,0.028773284,0.112198556,0.37740684,0.054582852,0.090755138,0.296074616,0.082499534,-0.05244265,0.42865281,0.148333388,0.053366848,0.177281977,-0.168151832,0.056106816
