p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
RCOR2	0.911047070271678	1.00920836468395	0.859293448724043	1.18527788715301	0.00916622618081096	RCOR2	None
RECQL4	0.511794489554668	1.06255220388408	0.886395955787746	1.27371653560349	0.0606737536768138	RECQL4	None
RFC4	0.633031351288005	1.05235324467543	0.853472841181253	1.29757772965116	0.0510288418647197	RFC4	None
RNASEH2A	0.963805406525703	1.00515588905094	0.804950613459537	1.25515571315802	0.00514264296571138	RNASEH2A	None
RNF39	0.0325763607868079	0.868909286710143	0.763855833806235	0.988410790513971	-0.140516547301189	RNF39	Protective
S100A12	0.0796928057809796	0.924004205522028	0.845831176776691	1.00940210678449	-0.079038655920044	S100A12	None
S100A7	0.0612374097895749	0.918575579841021	0.840411511431694	1.00400944585211	-0.0849310915489452	S100A7	None
S100A8	0.171101278690122	0.899288309236244	0.77246971209009	1.04692708396399	-0.106151595994666	S100A8	None
S100A9	0.197597701900136	0.91505152092472	0.799459017034148	1.04735736054732	-0.0887749082702452	S100A9	None
SAMD9	0.673562491933272	0.968739079267542	0.835666366923189	1.12300248142736	-0.0317599713922717	SAMD9	None
SCML4	0.490296405540898	0.947946238753864	0.814369786626518	1.10343247787962	-0.0534574885104475	SCML4	None
SELP	0.214284644428917	0.892570249328024	0.746009668260142	1.0679240281745	-0.113650057694191	SELP	None
SH3RF2	0.321216913232233	0.909224582114541	0.753375732587721	1.09731347183406	-0.095163150287699	SH3RF2	None
SKA3	0.345969209237419	1.08527971524685	0.91543274120122	1.28663964845821	0.0818377558380055	SKA3	None
