,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
CXCR2,3044.54247108304,-1.43636262590599,0.129536156870182,-11.0885073373412,1.4264810438345e-28,9.2894349472357e-28,down
TTR,137.481529588639,-1.67910332451179,0.151453627822975,-11.0865837197006,1.45748096707094e-28,9.48651457142032e-28,down
SAMD5,2105.68822855453,-1.5944458216229,0.144134038980634,-11.0622434013462,1.91253150157366e-28,1.23857809310057e-27,down
REG4,144.811558723121,-2.06522905292397,0.18678413995862,-11.0567688101436,2.03289576779084e-28,1.31322619783921e-27,down
ADGRB3,62.4947266241219,-1.28502339412499,0.116422502801795,-11.0375860611131,2.51704495904978e-28,1.61544873530245e-27,down
CYP2E1,1112.68336649346,-1.54367164914255,0.139893385048654,-11.0346293257946,2.60121882294126e-28,1.66780983864143e-27,down
ACSM3,380.962019609265,-1.24298049459153,0.112647965017094,-11.0342028318302,2.61358872170824e-28,1.67407440697781e-27,down
LRRC26,2979.43180212023,-1.85839113904042,0.168474931520675,-11.0306686120383,2.71836502807368e-28,1.73859284640601e-27,down
TAGLN,26085.8234301113,-1.10157079161862,0.0999639454033761,-11.0196810177264,3.07145559815937e-28,1.96052624181818e-27,down
SRL,70.4242851135187,-1.14416934500224,0.103914126513382,-11.0107199414788,3.39281604323677e-28,2.16243757807683e-27,down
CCDC178,54.7986726755374,-1.22432751424157,0.111269499634428,-11.0032625136633,3.68551723741741e-28,2.34783123319356e-27,down
PAX9,9809.70954436191,-1.51617988492926,0.137866749499225,-10.9974296952419,3.93179363524959e-28,2.50100907731605e-27,down
ANKRD22,2369.42590791656,-1.16682011431761,0.106114712799324,-10.9958372739906,4.0018209644094e-28,2.54429693201172e-27,down
GIPC3,549.134477898729,-1.05701162206763,0.0962031114745677,-10.9872914281682,4.39930615234557e-28,2.79287641933776e-27,down
RSPO2,135.533718676453,-1.67606784175403,0.15257851313906,-10.9849533022154,4.51472018396655e-28,2.86473451673267e-27,down
PRB1,5354.33895644745,-1.54514136591716,0.140662873714372,-10.9847134863369,4.52672641016159e-28,2.87093859622311e-27,down
GATM,2166.84725361831,-1.17966433623992,0.107520230437756,-10.9715569938518,5.23628408505506e-28,3.3127983938897e-27,down
EYA2,4784.39110548508,-1.30504164291131,0.118967732807038,-10.9697109637959,5.34429590527358e-28,3.37947351771374e-27,down
CRTAC1,903.476393428817,-1.64763327155407,0.150273643242409,-10.9642199124449,5.67881547178353e-28,3.58221459804328e-27,down
YIPF7,201.064262836575,-1.62651323049341,0.148389882809173,-10.9610790149695,5.87941433064566e-28,3.70512407010992e-27,down
GJB1,145.820934689692,-1.39408249413276,0.127254636299868,-10.9550625004161,6.28349785357721e-28,3.95396853209223e-27,down
CYP11A1,908.727647086525,-1.19907747360124,0.109513886943083,-10.9490906319892,6.71180359479754e-28,4.21730449290669e-27,down
NPC1L1,83.5730735891504,-1.08970567232616,0.0995476183081733,-10.9465770336435,6.90062564823597e-28,4.3317231469263e-27,down
PDE6A,131.125853540728,-1.3228366331739,0.120876163177537,-10.943734466745,7.12051435280816e-28,4.46322848557284e-27,down
GNAO1,273.948713783499,-1.16465605308688,0.106498833114952,-10.9358574082195,7.76682807923175e-28,4.85652973245554e-27,down
CASQ1,123.719335070102,-1.30112531823257,0.119166937614332,-10.9185093137452,9.40263275326078e-28,5.84533361461159e-27,down
HMHB1,2146.84695965983,-1.84189072873021,0.168719803959518,-10.9168614798305,9.57474365707967e-28,5.94658982868097e-27,down
XPNPEP2,195.946448561159,-1.57787225761334,0.144633213284642,-10.9094738461493,1.03855693095887e-27,6.43156337869286e-27,down
HS3ST1,4056.08386190935,-1.24599943594066,0.114229307431346,-10.9078787568552,1.05693832685625e-27,6.54225016253503e-27,down
CLDN7,10899.6776531206,-1.23185122733429,0.113040037778659,-10.89747713767,1.1849735916075e-27,7.31686629704965e-27,down
CLPS,4554.78973785166,-1.91794800597481,0.176025532337766,-10.8958511898977,1.20633241800341e-27,7.44193863807564e-27,down
DGKB,256.047893415456,-1.50449302831824,0.138172112740606,-10.8885432702521,1.30714330081498e-27,8.04458330520675e-27,down
FUT5,396.081165805749,-1.41758951331867,0.130571433708361,-10.8568120381134,1.85098616652069e-27,1.12730746151078e-26,down
FUT3,8126.05733874237,-1.28359746717831,0.118272123575467,-10.8529163793975,1.93161887021117e-27,1.17474894557082e-26,down
MADCAM1,318.337023568225,-1.45497316177318,0.134110790246865,-10.8490387618694,2.01533595728411e-27,1.2250845901735e-26,down
SPRR2A,94499.3418413649,-1.57550124782633,0.145256494071004,-10.8463394900348,2.07572718978704e-27,1.2594178959796e-26,down
TTC9,1924.35711442019,-1.46756432598359,0.135507356999199,-10.830145008232,2.47762648649031e-27,1.50043755394837e-26,down
KLK12,7934.94758762784,-1.86415368829721,0.172331407818938,-10.8172602538929,2.85174960907924e-27,1.72295434871246e-26,down
FOS,33256.9548680187,-1.13728343018346,0.105226878387768,-10.8079175929985,3.15756425017403e-27,1.90236600123909e-26,down
FAIM2,416.942838942311,-1.04849969086726,0.0970854405865922,-10.7997624003373,3.45095412169523e-27,2.07524463312587e-26,down
PHYHIPL,406.367625196693,-1.27427372738117,0.118103168602833,-10.7894965262652,3.85897810802659e-27,2.31736582794828e-26,down
