id	category	gene_num.min	gene_num.max	gene_num.rich	Pvalue	up.regulated	down.regulated	rich.factor
GO:0045165	BP	0	2074	53	0.003729225	3	0	0.025554484088717456
GO:0007369	BP	0	2074	40	0.003729225	2	0	0.019286403085824494
GO:0071711	BP	0	2074	13	0.00374449	0	0	0.00626808100289296
GO:0071277	BP	0	2074	22	0.004029788	4	0	0.010607521697203472
GO:0001656	BP	0	2074	23	0.004052142	0	0	0.011089681774349084
GO:0042475	BP	0	2074	23	0.004052142	2	0	0.011089681774349084
GO:2001251	BP	0	2074	23	0.004052142	18	0	0.011089681774349084
GO:0043616	BP	0	2074	17	0.004052142	0	0	0.00819672131147541
GO:0045604	BP	0	2074	17	0.004052142	2	0	0.00819672131147541
GO:0120254	BP	0	2074	34	0.004288987	2	0	0.01639344262295082
GO:0051703	BP	0	2074	16	0.004362805	0	0	0.007714561234329798
GO:0014074	BP	0	2074	31	0.004420267	6	0	0.014946962391513982
GO:0010812	BP	0	2074	18	0.004447304	1	0	0.008678881388621022
GO:0045682	BP	0	2074	18	0.004447304	2	0	0.008678881388621022
GO:0007043	BP	0	2074	33	0.004447304	1	0	0.01591128254580521
GO:0061138	BP	0	2074	38	0.004502797	1	0	0.01832208293153327
GO:2000649	BP	0	2074	15	0.004502797	1	0	0.007232401157184185
GO:0071695	BP	0	2074	50	0.004502797	7	0	0.024108003857280617
GO:0007611	BP	0	2074	51	0.004502797	1	0	0.02459016393442623
GO:1901976	BP	0	2074	14	0.004632653	9	0	0.006750241080038573
GO:0001704	BP	0	2074	29	0.004646664	1	0	0.013982642237222759
GO:0005513	BP	0	2074	7	0.004869711	0	0	0.0033751205400192863
GO:0090232	BP	0	2074	7	0.004869711	6	0	0.0033751205400192863
GO:0035914	BP	0	2074	20	0.004869711	1	0	0.009643201542912247
GO:0120192	BP	0	2074	20	0.004869711	1	0	0.009643201542912247
GO:0071805	BP	0	2074	42	0.004869711	2	0	0.020250723240115717
GO:0061041	BP	0	2074	30	0.004953859	4	0	0.01446480231436837
GO:0032414	BP	0	2074	21	0.004991278	2	0	0.010125361620057859
GO:0120193	BP	0	2074	21	0.004991278	1	0	0.010125361620057859
GO:0032963	BP	0	2074	25	0.00504411	1	0	0.012054001928640309
GO:0090266	BP	0	2074	9	0.005115863	6	0	0.004339440694310511
GO:1903504	BP	0	2074	9	0.005115863	6	0	0.004339440694310511
GO:0019722	BP	0	2074	44	0.005404712	4	0	0.021215043394406944
GO:0072073	BP	0	2074	32	0.005577651	1	0	0.015429122468659595
GO:0006633	BP	0	2074	34	0.006223783	2	0	0.01639344262295082
GO:0072009	BP	0	2074	27	0.006249459	1	0	0.013018322082931534
GO:0033559	BP	0	2074	26	0.00645192	1	0	0.01253616200578592
GO:0045930	BP	0	2074	46	0.006506956	26	0	0.022179363548698167
GO:0003007	BP	0	2074	49	0.006506956	6	0	0.023625843780135006
GO:0006261	BP	0	2074	33	0.006522916	23	0	0.01591128254580521
GO:0043297	BP	0	2074	20	0.006614571	1	0	0.009643201542912247
GO:0010880	BP	0	2074	11	0.007150026	1	0	0.005303760848601736
GO:0034765	BP	0	2074	60	0.007171762	5	0	0.02892960462873674
GO:0051146	BP	0	2074	55	0.007181703	7	0	0.02651880424300868
GO:0014808	BP	0	2074	12	0.007268056	2	0	0.0057859209257473485
GO:0035137	BP	0	2074	12	0.007268056	1	0	0.0057859209257473485
GO:0060317	BP	0	2074	12	0.007268056	1	0	0.0057859209257473485
GO:0007530	BP	0	2074	9	0.007268056	0	0	0.004339440694310511
GO:0010881	BP	0	2074	9	0.007268056	1	0	0.004339440694310511
GO:0006260	BP	0	2074	50	0.007386705	29	0	0.024108003857280617
GO:0051231	BP	0	2074	7	0.007782547	6	0	0.0033751205400192863
GO:0051255	BP	0	2074	7	0.007782547	6	0	0.0033751205400192863
GO:0071415	BP	0	2074	7	0.007782547	4	0	0.0033751205400192863
GO:0051208	BP	0	2074	29	0.007908157	4	0	0.013982642237222759
GO:0035176	BP	0	2074	15	0.007923382	0	0	0.007232401157184185
GO:1901989	BP	0	2074	26	0.007950314	12	0	0.01253616200578592
GO:0141091	BP	0	2074	65	0.008137061	3	0	0.0313404050144648
GO:0007409	BP	0	2074	74	0.008195749	2	0	0.03567984570877531
GO:0043269	BP	0	2074	76	0.008195749	6	0	0.03664416586306654
GO:0042759	BP	0	2074	10	0.008407618	1	0	0.0048216007714561235
GO:0010948	BP	0	2074	55	0.008537255	33	0	0.02651880424300868
GO:1901992	BP	0	2074	23	0.008537255	12	0	0.011089681774349084
GO:0048732	BP	0	2074	73	0.008890662	9	0	0.0351976856316297
GO:1903514	BP	0	2074	12	0.009113119	2	0	0.0057859209257473485
GO:0045786	BP	0	2074	67	0.009219713	35	0	0.03230472516875603
GO:0021545	BP	0	2074	17	0.009219713	0	0	0.00819672131147541
GO:0006690	BP	0	2074	27	0.009565808	1	0	0.013018322082931534
GO:0051282	BP	0	2074	28	0.010274301	4	0	0.013500482160077145
GO:0090329	BP	0	2074	14	0.0103488	11	0	0.006750241080038573
GO:1902305	BP	0	2074	16	0.0103488	1	0	0.007714561234329798
GO:0032868	BP	0	2074	48	0.010665784	4	0	0.023143683702989394
GO:0045835	BP	0	2074	6	0.010877585	4	0	0.0028929604628736743
GO:0051256	BP	0	2074	6	0.010877585	6	0	0.0028929604628736743
GO:0086070	BP	0	2074	6	0.010877585	0	0	0.0028929604628736743
GO:0035116	BP	0	2074	10	0.011140105	1	0	0.0048216007714561235
GO:0051447	BP	0	2074	8	0.011244169	4	0	0.003857280617164899
GO:1901978	BP	0	2074	8	0.011244169	6	0	0.003857280617164899
GO:0021782	BP	0	2074	28	0.011244169	2	0	0.013500482160077145
GO:0071248	BP	0	2074	38	0.011303619	4	0	0.01832208293153327
GO:2000243	BP	0	2074	21	0.011303619	5	0	0.010125361620057859
GO:0061436	BP	0	2074	11	0.011393299	2	0	0.005303760848601736
GO:2000241	BP	0	2074	40	0.011410272	11	0	0.019286403085824494
GO:0034501	BP	0	2074	7	0.011648752	6	0	0.0033751205400192863
GO:0035358	BP	0	2074	7	0.011648752	0	0	0.0033751205400192863
GO:0044771	BP	0	2074	7	0.011648752	6	0	0.0033751205400192863
GO:1903083	BP	0	2074	7	0.011648752	6	0	0.0033751205400192863
GO:1901890	BP	0	2074	24	0.011753625	0	0	0.011571841851494697
GO:0010171	BP	0	2074	14	0.012180147	3	0	0.006750241080038573
GO:0051235	BP	0	2074	57	0.012717398	11	0	0.027483124397299902
GO:0007422	BP	0	2074	21	0.012774951	1	0	0.010125361620057859
GO:1904888	BP	0	2074	18	0.012779532	2	0	0.008678881388621022
GO:2000242	BP	0	2074	19	0.012866959	4	0	0.009161041465766635
GO:0046683	BP	0	2074	27	0.012866959	5	0	0.013018322082931534
GO:0003205	BP	0	2074	33	0.013264962	3	0	0.01591128254580521
GO:0045471	BP	0	2074	26	0.013562781	4	0	0.01253616200578592
GO:0042044	BP	0	2074	12	0.013891476	2	0	0.0057859209257473485
GO:0051785	BP	0	2074	16	0.014035285	5	0	0.007714561234329798
GO:0051209	BP	0	2074	27	0.014350805	4	0	0.013018322082931534
GO:0033273	BP	0	2074	21	0.014408389	3	0	0.010125361620057859
GO:0060021	BP	0	2074	21	0.014408389	2	0	0.010125361620057859
GO:0001508	BP	0	2074	30	0.014640348	2	0	0.01446480231436837
GO:0072088	BP	0	2074	19	0.014696415	1	0	0.009161041465766635
GO:0001708	BP	0	2074	24	0.014696415	1	0	0.011571841851494697
GO:0032409	BP	0	2074	46	0.014828831	4	0	0.022179363548698167
GO:1903046	BP	0	2074	40	0.015341485	20	0	0.019286403085824494
GO:2001014	BP	0	2074	8	0.015341485	1	0	0.003857280617164899
GO:0032535	BP	0	2074	61	0.015385713	7	0	0.029411764705882353
GO:0051283	BP	0	2074	27	0.015713128	4	0	0.013018322082931534
GO:0044786	BP	0	2074	13	0.015726432	10	0	0.00626808100289296
GO:1990138	BP	0	2074	34	0.015894109	1	0	0.01639344262295082
GO:0045926	BP	0	2074	44	0.016111235	5	0	0.021215043394406944
GO:0032411	BP	0	2074	21	0.016111235	2	0	0.010125361620057859
GO:0006575	BP	0	2074	36	0.016176835	4	0	0.017357762777242044
GO:0010959	BP	0	2074	64	0.016806198	6	0	0.03085824493731919
GO:0000022	BP	0	2074	6	0.016943171	6	0	0.0028929604628736743
GO:0000727	BP	0	2074	6	0.016943171	4	0	0.0028929604628736743
GO:0090267	BP	0	2074	6	0.016943171	5	0	0.0028929604628736743
GO:0098528	BP	0	2074	6	0.016943171	0	0	0.0028929604628736743
GO:0060562	BP	0	2074	56	0.017014861	4	0	0.02700096432015429
GO:0007178	BP	0	2074	67	0.017014861	3	0	0.03230472516875603
GO:0042303	BP	0	2074	25	0.017049664	0	0	0.012054001928640309
GO:0042633	BP	0	2074	25	0.017049664	0	0	0.012054001928640309
GO:0098810	BP	0	2074	11	0.01731886	0	0	0.005303760848601736
GO:0060541	BP	0	2074	40	0.017343359	4	0	0.019286403085824494
GO:0045216	BP	0	2074	39	0.017343359	2	0	0.018804243008678882
GO:0072006	BP	0	2074	31	0.017456004	1	0	0.014946962391513982
GO:0001558	BP	0	2074	67	0.01774306	10	0	0.03230472516875603
GO:0070098	BP	0	2074	21	0.017762851	0	0	0.010125361620057859
GO:1903034	BP	0	2074	34	0.018276539	5	0	0.01639344262295082
GO:0050909	BP	0	2074	16	0.018276539	1	0	0.007714561234329798
GO:0048713	BP	0	2074	13	0.018276539	1	0	0.00626808100289296
GO:0051656	BP	0	2074	74	0.018276539	30	0	0.03567984570877531
GO:0019395	BP	0	2074	23	0.018276539	0	0	0.011089681774349084
GO:0003151	BP	0	2074	19	0.018276539	3	0	0.009161041465766635
GO:0061333	BP	0	2074	19	0.018276539	1	0	0.009161041465766635
GO:0072028	BP	0	2074	19	0.018276539	1	0	0.009161041465766635
GO:0019730	BP	0	2074	27	0.018276539	3	0	0.013018322082931534
GO:0008643	BP	0	2074	31	0.018744242	2	0	0.014946962391513982
GO:0006493	BP	0	2074	22	0.018963565	1	0	0.010607521697203472
GO:0006721	BP	0	2074	22	0.018963565	0	0	0.010607521697203472
GO:0018958	BP	0	2074	24	0.019432658	0	0	0.011571841851494697
GO:0071772	BP	0	2074	34	0.019440521	1	0	0.01639344262295082
GO:0071773	BP	0	2074	34	0.019440521	1	0	0.01639344262295082
GO:0097553	BP	0	2074	35	0.019527029	4	0	0.016875602700096432
GO:0006935	BP	0	2074	73	0.019527029	4	0	0.0351976856316297
GO:0016055	BP	0	2074	73	0.019527029	7	0	0.0351976856316297
GO:0014706	BP	0	2074	46	0.019552877	5	0	0.022179363548698167
GO:0033002	BP	0	2074	44	0.020136489	7	0	0.021215043394406944
GO:0019369	BP	0	2074	15	0.020250479	0	0	0.007232401157184185
GO:1904427	BP	0	2074	19	0.020480437	2	0	0.009161041465766635
GO:1901988	BP	0	2074	47	0.020480437	28	0	0.02266152362584378
GO:0040020	BP	0	2074	11	0.020480437	7	0	0.005303760848601736
GO:0048665	BP	0	2074	11	0.020480437	0	0	0.005303760848601736
GO:0002685	BP	0	2074	41	0.020480437	3	0	0.019768563162970106
GO:0044242	BP	0	2074	41	0.020480437	1	0	0.019768563162970106
GO:1990868	BP	0	2074	22	0.020719249	0	0	0.010607521697203472
GO:1990869	BP	0	2074	22	0.020719249	0	0	0.010607521697203472
GO:0003206	BP	0	2074	26	0.020742842	2	0	0.01253616200578592
GO:0003231	BP	0	2074	26	0.020742842	3	0	0.01253616200578592
GO:0060343	BP	0	2074	9	0.02083326	0	0	0.004339440694310511
GO:0050919	BP	0	2074	13	0.020923884	0	0	0.00626808100289296
GO:0042330	BP	0	2074	73	0.020923884	4	0	0.0351976856316297
GO:0198738	BP	0	2074	73	0.020923884	7	0	0.0351976856316297
GO:0032970	BP	0	2074	62	0.021426419	9	0	0.029893924783027964
GO:0045137	BP	0	2074	42	0.021433139	5	0	0.020250723240115717
GO:0030509	BP	0	2074	32	0.021712407	1	0	0.015429122468659595
GO:0030900	BP	0	2074	65	0.02177395	6	0	0.0313404050144648
GO:0032496	BP	0	2074	57	0.02178234	6	0	0.027483124397299902
GO:0015850	BP	0	2074	52	0.02178234	5	0	0.02507232401157184
GO:0042693	BP	0	2074	7	0.022071204	1	0	0.0033751205400192863
GO:0051382	BP	0	2074	7	0.022071204	5	0	0.0033751205400192863
GO:0072074	BP	0	2074	7	0.022071204	0	0	0.0033751205400192863
GO:0051279	BP	0	2074	19	0.022421741	2	0	0.009161041465766635
GO:0072078	BP	0	2074	18	0.022923592	1	0	0.008678881388621022
GO:0070486	BP	0	2074	6	0.024128947	2	0	0.0028929604628736743
GO:0001676	BP	0	2074	23	0.024203569	1	0	0.011089681774349084
GO:0048730	BP	0	2074	11	0.024660169	0	0	0.005303760848601736
GO:0031670	BP	0	2074	13	0.024733226	0	0	0.00626808100289296
GO:0044282	BP	0	2074	60	0.02503587	4	0	0.02892960462873674
GO:0002062	BP	0	2074	24	0.025366811	0	0	0.011571841851494697
GO:0035282	BP	0	2074	22	0.025366811	1	0	0.010607521697203472
GO:0002028	BP	0	2074	19	0.025422666	1	0	0.009161041465766635
GO:0001958	BP	0	2074	10	0.025836107	0	0	0.0048216007714561235
GO:0036075	BP	0	2074	10	0.025836107	0	0	0.0048216007714561235
GO:0032956	BP	0	2074	56	0.026297852	9	0	0.02700096432015429
GO:0046037	BP	0	2074	9	0.026299861	1	0	0.004339440694310511
GO:0014009	BP	0	2074	15	0.026400984	0	0	0.007232401157184185
