,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
PRR9,914.528741751331,-2.12069970791079,0.357712864427576,-5.92849717972654,3.05719663220594e-09,1.10600030442324e-07,down
MAB21L3,358.204531464985,-1.24359143580783,0.210048844586471,-5.92048691463226,3.20989835517706e-09,1.1519778831053e-07,down
DHRS9,2499.83507241963,-1.2571362552106,0.212993638331383,-5.9022244281996,3.58632840410649e-09,1.26025821575555e-07,down
IKZF2,531.456939809746,-1.10403686443918,0.1875527036964,-5.88654198356071,3.9435961416709e-09,1.36448426501813e-07,down
THSD4,432.442171405973,-1.08111708794263,0.183752541796269,-5.88354902399824,4.0156107840774e-09,1.38231254898828e-07,down
LY6G6C,2503.33780897883,-1.01190992348423,0.172263805789368,-5.87418766726608,4.24921790760677e-09,1.44795319306176e-07,down
SCNN1B,567.195071765971,-1.02275937548621,0.174335868443965,-5.86660326767437,4.44813272173921e-09,1.50811816450123e-07,down
TMPRSS11E,3378.83085698073,-1.13704929828211,0.195038530190658,-5.8298701142313,5.54705347665625e-09,1.81679465082523e-07,down
MMP20,112.015943632161,-1.59132336845953,0.274492908398801,-5.79732051273087,6.73828356162487e-09,2.14956024540345e-07,down
KLB,55.5392956451892,-1.01558196962938,0.175310189218962,-5.79305728979005,6.91165171584659e-09,2.19449007655609e-07,down
C2orf54,1618.95682302841,-1.10913424017624,0.19237823600549,-5.76538314939426,8.14725344856115e-09,2.5299298721476e-07,down
CEL,3213.59180720984,-1.26075191520793,0.219197806459706,-5.75166300963733,8.83698157364448e-09,2.69178847301938e-07,down
HAL,130.984691895543,-1.75157343283302,0.305389104052924,-5.73554658495436,9.71983707350644e-09,2.91465514377546e-07,down
CYP4B1,1202.39035600894,-1.55730402960624,0.273123883603929,-5.70182295688417,1.18532904166152e-08,3.50763817723258e-07,down
WFDC12,1493.57134847183,-1.56617087272739,0.275165100165246,-5.6917496869583,1.25744104736876e-08,3.70478373213845e-07,down
