,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CTRL,324.197843793884,0.0672335367962137,0.0929104509654671,0.723638041765646,0.469287980097051,0.655206622186198
ZFP36L2,9064.31098200964,-0.0532045620067373,0.113397820644603,-0.4691850487452,0.638937371476277,0.786806098085607
VPS36,5066.54395328483,0.179869879420198,0.0966692408612313,1.86067334156892,0.0627903207043743,0.172039104078137
ALDH8A1,833.131156091593,0.157670562923265,0.0982765725210367,1.60435553335476,0.108635706628796,0.254314492712571
MYO1A,366.270020102298,-0.0420986960951688,0.0866648501133823,-0.485764367446453,0.627134240724487,0.77931204018199
OR5H1,285.333842610102,0.171231194944276,0.166685434269111,1.02727149312774,0.304292641713712,0.502462666089675
OR6N2,47.6007413568857,0.0943849769729921,0.251164306217118,0.375789770427815,0.707073193371335,0.832548801581541
SKA3,2302.6128567467,0.472140161189888,0.150671801435838,3.1335668432354,0.00172695579669291,0.0109715355558259
OR4B1,183.9485554552,0.0790647559738095,0.228021354050607,0.346742770224326,0.728784575309644,0.847558308991496
TAS2R4,90.2352441733504,0.0680292242376543,0.226939575920766,0.299768006358689,0.764354120874779,0.869856578261215
WDR45B,9686.59808987719,-0.0430933404893077,0.07383335412612,-0.583656817428298,0.559451225594524,0.730752123055351
RTP3,158.05893645438,-0.084148709944815,0.274887219627759,-0.306120852249027,0.759512631765256,0.86715148938492
RPA2,2930.41802082943,0.0557371317694134,0.109179707486263,0.510508161751818,0.609695498069232,0.767895375298322
EML3,1701.15307854892,-0.171813681264344,0.0633028533426854,-2.71415382074871,0.00664453057739565,0.0316936357763793
ANKAR,922.391835888874,0.342477267229455,0.0923824150038644,3.70716945660198,0.000209588707501807,0.00194511005435309
LPGAT1,4002.91890022922,0.222547026884272,0.0776878407802303,2.86463138438654,0.00417494921641518,0.0219636509654216
HTR2A,77.3317451160677,0.325772059215589,0.19452165184127,1.67473418065265,0.0939863979097312,0.229464891151423
MIF,67649.8478558445,0.028458570525144,0.0746521878551018,0.381215492041325,0.703043354541945,0.830392599059931
PPARD,7260.62937284798,-0.535963504962783,0.106728574993329,-5.02174328661544,5.12045918929317e-07,1.13085885925241e-05
PCDHGB4,1049.51952747346,0.204710113749071,0.197764744760396,1.0351193484819,0.300613177662977,0.498034061841514
UPF1,11739.3475758149,0.0958926047733461,0.0952308757702382,1.00694868127333,0.313959436240648,0.512157716710748
RGSL1,62.4424213576575,-0.08499412471353,0.100304580953209,-0.847360348907479,0.396794298378707,0.590801291521525
HAUS4,3521.09953126593,0.189969323361278,0.101722845804767,1.86751876491815,0.0618291788441514,0.169888605034205
ARRDC5,81.4184508982633,-0.300837648529583,0.141175160280452,-2.13095312186616,0.0330930043539962,0.106940628583462
ALDH9A1,14610.5493411257,0.214916070029361,0.0839612434000743,2.55970566092368,0.0104760849349668,0.0449918173495996
AGPAT2,12668.2595728686,-0.0291641055140402,0.126168109858442,-0.231152749666788,0.81719613625582,0.901581609241766
PDHA2,730.132093407869,0.148756915196864,0.221082023021721,0.672858485568717,0.501037325469976,0.681964663091775
PCNT,1732.06290268113,0.0612057079749168,0.0801918840231063,0.76324067853651,0.445319872976699,0.634921530283046
MAFF,6824.75864050414,-0.121996903607984,0.075522708267413,-1.61536717110322,0.10623120515944,0.250344345516459
ATP6V1G2,207.522214533629,0.701329792986071,0.148053044976211,4.73701701372477,2.16886963673561e-06,4.07614580475074e-05
KIF18B,2704.23366246846,0.0927002037845638,0.101202803713812,0.915984541759409,0.359675002733417,0.55709991814563
CASR,11.9644910112362,-0.0390760215649524,0.135147333471198,-0.289136459901224,0.772476953587387,0.874626951813072
CAPSL,53.7413905909274,0.249564924034565,0.199203893756845,1.25281147535797,0.210274324428333,0.395848456171307
CCDC105,40.8532937998207,-0.278912629722214,0.136860438432201,-2.03793465019757,0.041556468756116,0.126697467102356
E2F5,1797.33457828184,0.792225926765697,0.164475983606878,4.81666629615199,1.45976512624456e-06,2.87619559632263e-05
KRTAP2-1,478.233878948233,0.0373996185487057,0.11235600650192,0.332867104421929,0.739234601638908,0.854409568695111
FOXJ2,1081.78339529462,0.091705627183701,0.110898072333748,0.826936169888626,0.408273241086878,0.601782264398434
RAB12,6263.46570664835,0.161198084186131,0.144175592759166,1.11806777486533,0.263538048288426,0.45742382729195
ATG101,10024.4421650643,0.0922772292736566,0.0876046367503337,1.05333727410616,0.292186441327431,0.489055301323784
CLPP,6923.36273674327,-0.0541401546454462,0.0535505871481378,-1.01100954310132,0.312011862311051,0.510523592824703
